band t mag emag
U 4.11037037037 21.8 0.361247837364
U 4.11037037037 20.49 0.202237484162
B 4.11212962963 18.48 0.141421356237
UW2 4.1605787037 22.04 0.311448230048
V 4.16734953704 18.01 0.170293863659
UM2 4.16907407407 21.74 0.341320963318
UW1 4.17422453704 20.65 0.222036033112
U 4.17765046296 22.04 0.311448230048
U 4.17765046296 21.74 0.341320963318
U 4.17765046296 20.65 0.222036033112
U 4.17765046296 19.06 0.13152946438
B 4.17939814815 18.34 0.13152946438
UW2 4.23280092593 21.8 0.301496268634
V 4.23777777778 18.19 0.220227155455
UW1 4.24280092593 20.7 0.261725046566
U 4.2453125 20.7 0.261725046566
U 4.2453125 21.8 0.301496268634
U 4.2453125 19.05 0.151327459504
B 4.24659722222 18.35 0.161245154966
UW2 4.29460648148 21.71 0.25179356624
V 4.30143518519 18.34 0.210237960416
UW1 4.30833333333 20.96 0.271661554144
U 4.31178240741 20.96 0.271661554144
U 4.31178240741 18.99 0.13152946438
U 4.31178240741 21.71 0.25179356624
B 4.31353009259 18.41 0.141421356237
UW2 4.36127314815 22.01 0.301496268634
V 4.36811342593 18.11 0.190262975904
UW1 4.37498842593 20.69 0.231948270095
U 4.3784375 22.01 0.301496268634
U 4.3784375 20.69 0.231948270095
U 4.3784375 19.06 0.13152946438
B 4.38019675926 18.49 0.151327459504
UW2 4.42795138889 21.59 0.231948270095
V 4.43479166667 18.21 0.190262975904
UM2 4.43652777778 21.77 0.351283361405
UW1 4.44166666667 20.95 0.271661554144
U 4.44510416667 20.95 0.271661554144
U 4.44510416667 21.77 0.351283361405
U 4.44510416667 21.59 0.231948270095
U 4.44510416667 19.07 0.141421356237
B 4.44685185185 18.64 0.161245154966
UW2 4.4953125 21.81 0.261725046566
V 4.5021412037 18.37 0.220227155455
UW1 4.50902777778 20.63 0.212132034356
U 4.5124537037 20.63 0.212132034356
U 4.5124537037 18.89 0.121655250606
U 4.5124537037 21.81 0.261725046566
B 4.51420138889 18.57 0.151327459504
UW2 4.56196759259 21.99 0.291547594742
V 4.56880787037 18.16 0.190262975904
UM2 4.57054398148 21.65 0.331360830516
UW1 4.57568287037 20.57 0.212132034356
U 4.57912037037 21.99 0.291547594742
U 4.57912037037 20.57 0.212132034356
U 4.57912037037 21.65 0.331360830516
U 4.57912037037 19.0 0.13152946438
B 4.58086805556 18.51 0.151327459504
UW2 4.62931712963 21.93 0.361247837364
V 4.63313657407 18.07 0.230217288664
UW1 4.64600694444 20.63 0.291547594742
U 4.64795138889 21.93 0.361247837364
U 4.64795138889 18.84 0.151327459504
U 4.64795138889 20.63 0.291547594742
B 4.64894675926 18.49 0.200997512422
V 4.69865740741 18.06 0.280178514522
U 4.70270833333 18.85 0.181107702763
B 4.70341435185 18.52 0.210950231097
V 4.76625 18.12 0.280178514522
U 4.77064814815 19.09 0.200997512422
B 4.77141203704 18.61 0.25079872408
V 4.83498842593 18.01 0.250199920064
UW1 4.83792824074 20.83 0.351283361405
U 4.83938657407 20.83 0.351283361405
U 4.83938657407 19.02 0.191049731745
B 4.84015046296 18.57 0.240831891576
U 8.92907407407 21.76 0.192353840617
UW2 8.92907407407 21.76 0.192353840617
V 8.92991898148 17.7 0.110453610172
U 8.93079861111 20.71 0.162788205961
UW1 8.93079861111 20.71 0.162788205961
U 8.93125 19.05 0.101980390272
B 8.93149305556 18.34 0.101980390272
UW2 11.8603240741 21.87 0.133416640641
U 11.8603240741 21.87 0.133416640641
UM2 11.8651851852 22.12 0.152970585408
U 11.8651851852 22.12 0.152970585408
UW1 11.8700347222 21.13 0.104403065089
U 11.8700347222 21.13 0.104403065089
UW2 18.8996875 22.22 0.152970585408
U 18.8996875 22.22 0.152970585408
V 18.9029976852 18.33 0.100498756211
U 18.9038541667 22.36 0.202237484162
UM2 18.9038541667 22.36 0.202237484162
UW1 18.9063310185 21.81 0.192353840617
U 18.9063310185 21.81 0.192353840617
U 18.9079976852 20.6 0.151327459504
B 18.9088657407 19.36 0.121655250606
U 20.8972569444 22.4 0.152970585408
UW2 20.8972569444 22.4 0.152970585408
UM2 20.9037615741 22.63 0.182482875909
U 20.9037615741 22.63 0.182482875909
U 20.9102662037 21.84 0.133416640641
UW1 20.9102662037 21.84 0.133416640641
